,avg_improvement,pct_improvement
0,1.11502395116,0.2808333333333333
1,0.8866870776333334,0.4541666666666667
2,-1.8236100343191668,0.24583333333333332
3,-1.3968231755141671,0.2808333333333333
4,-2.3332103701666664,0.29749999999999993
5,-0.7521547601766667,0.485
6,-0.6599524799708334,0.3891666666666667
7,0.34888098588416677,0.5458333333333333
8,0.1849294845641665,0.545
9,2.053827002695,0.645
10,0.8163312052266669,0.5216666666666666
11,1.2521060448149999,0.5841666666666666
12,-0.07826595295916665,0.4416666666666667
13,-0.7875001555899999,0.4025000000000001
14,1.5512617384558334,0.5633333333333334
15,-0.08289385725166683,0.4075
16,-1.4094897632,0.36500000000000005
17,0.20132887799083335,0.515
18,-0.2829067361183334,0.4575
19,-0.3847294911833333,0.4141666666666666
20,0.2843190438575,0.4125
21,0.27064322165833327,0.4508333333333333
22,0.09992048091916667,0.4608333333333334
23,-0.04012684670833334,0.505
24,0.4828087431583334,0.43916666666666665
25,-0.722671094275,0.3133333333333333
26,-0.17235995637916662,0.3733333333333333
