Peak WSPG,Draft Year,Name,Pick,Draft Age,Year,Position,Height (cm),Weight (lbs),Height/Weight Ratio,Games,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Strength of Schedule,True Shooting Percentage,Effective Field Goal Percentage,3 Point Attempt Rate,Free Throw Attempt Rate,Offensive Win Shares,Defensive Win Shares,Win Shares
0,2012,Fab Melo,22,22,2012,Center,213,244,0.87295082,30,3.3,5.8,0.566,3.3,5.8,0.566,0,0,0,1.3,2,0.633,5.8,0.7,0.5,2.9,7.8,8.02,0.581,0.566,0,0.347,1.5,1.5,3
0,2012,John Jenkins,23,21.25,2012,Guard,193,215,0.897674419,35,6.2,13.1,0.474,2.4,4.4,0.542,3.8,8.7,0.439,3.7,4.4,0.837,2.9,1.2,0.8,0.3,19.9,8.04,0.656,0.62,0.666,0.334,5.4,1.1,6.5
0,2012,Jared Cunningham,24,21.08333333,2012,Guard,193,194,0.994845361,36,5.5,12.2,0.45,4.1,8.1,0.507,1.4,4.1,0.338,5.5,7.5,0.737,3.8,2.8,2.5,0.4,17.9,3.38,0.568,0.507,0.336,0.614,3.4,1.6,5
0,2012,Tony Wroten,25,19.16666667,2012,Guard,196,205,0.956097561,35,5.7,12.8,0.443,5.4,11.2,0.483,0.3,1.6,0.161,4.4,7.5,0.583,5,3.7,1.9,0.4,16,5.27,0.488,0.453,0.125,0.591,1.6,1.6,3.2
3.240718563,2012,Miles Plumlee,26,23.75,2012,Forward,208,245,0.848979592,34,2.6,4.3,0.61,2.6,4.3,0.61,0,0,0,1.4,2.2,0.632,7.1,0.5,0.5,0.9,6.6,8.4,0.621,0.61,0,0.521,1.9,1.2,3.1
0,2012,Arnett Moultrie,27,21.58333333,2012,Forward,211,249,0.847389558,30,6,10.9,0.549,5.7,10.3,0.555,0.3,0.6,0,4.1,5.3,0.78,10.5,1.2,0.8,0.8,16.4,4.86,0.61,0.561,0.055,0.485,3.6,1.4,5
0,2012,Perry Jones,28,20.75,2012,Forward,211,235,0.89787234,33,5.5,11,0.5,5.2,10,0.52,0.3,1,0.303,2.2,3.1,0.696,7.6,1.3,0.8,0.6,13.5,8.03,0.539,0.514,0.091,0.28,2.7,1.6,4.2
0,2012,Marquis Teague,29,19.33333333,2012,Guard,188,189,0.994708995,40,3.6,8.8,0.412,3,6.8,0.438,0.7,2,0.325,2.1,3,0.714,2.5,4.8,0.9,0.3,10,7.93,0.491,0.449,0.227,0.338,1.7,1.8,3.5
3.92173913,2012,Festus Ezeli,30,22.66666667,2012,Center,211,255,0.82745098,26,3.4,6.3,0.539,3.4,6.3,0.539,0,0,0,3.2,5.3,0.604,5.9,0.3,0.4,2,10.1,8.04,0.567,0.539,0,0.842,1.1,1,2.1
0.149090909,2012,Jeff Taylor,31,23.08333333,2012,Forward,201,225,0.893333333,36,5.8,11.8,0.493,4,7.5,0.533,1.8,4.3,0.423,2.6,4.4,0.605,5.6,1.7,1.3,0.4,16.1,8.04,0.58,0.57,0.366,0.369,3.6,1.6,5.2
6.466079295,2012,Jae Crowder,34,21.91666667,2012,Forward,198,235,0.842553191,35,6.2,12.5,0.498,4.5,7.4,0.602,1.7,5.1,0.345,3.4,4.6,0.735,8.4,2.1,2.5,1,17.5,7.5,0.598,0.568,0.406,0.372,4.5,3.1,7.6
9.659322034,2012,Draymond Green,35,22.25,2012,Forward,201,230,0.873913043,37,5.7,12.8,0.449,4.3,9.1,0.473,1.4,3.6,0.388,3.4,4.7,0.723,10.6,3.8,1.5,0.9,16.2,9.81,0.542,0.504,0.284,0.367,3.5,3.6,7.1
0,2012,Orlando Johnson,36,23.25,2012,Guard,196,205,0.956097561,31,6.7,14.8,0.451,4.4,9.5,0.464,2.3,5.3,0.427,4.1,5.9,0.698,5.8,2.9,1.1,0.7,19.7,-1.38,0.56,0.527,0.357,0.397,4,1.2,5.2
2.534545455,2012,Quincy Acy,37,21.66666667,2012,Forward,201,235,0.855319149,38,4.2,7.2,0.577,4.1,7.1,0.576,0.1,0.1,0,3.6,4.6,0.782,7.4,1,0.9,1.8,12,8.03,0.638,0.582,0.018,0.635,3.5,2,5.6
0,2012,Quincy Miller,38,19.58333333,2012,Forward,206,210,0.980952381,37,3.7,8.4,0.447,3.1,6.5,0.475,0.6,1.9,0.348,2.5,3.1,0.816,4.9,1.4,0.7,0.6,10.6,8.03,0.541,0.485,0.223,0.369,2.1,1.3,3.5
6.301052632,2012,Khris Middleton,39,20.83333333,2012,Forward,201,217,0.926267281,20,5.1,12.3,0.415,4.1,8.5,0.485,1,3.9,0.26,2,2.6,0.75,5,2.3,1,0.3,13.2,6.54,0.486,0.455,0.313,0.211,0.7,0.9,1.6
3.649,2012,Will Barton,40,21.41666667,2012,Guard,198,175,1.131428571,35,6.6,12.9,0.509,5.5,9.9,0.559,1.1,3.1,0.346,3.8,5.1,0.749,8,2.9,1.4,0.7,18,5.26,0.587,0.55,0.237,0.396,4.6,2.6,7.2
