Peak WSPG,Draft Year,Name,Pick,Draft Age,Year,Position,Height (cm),Weight (lbs),Height/Weight Ratio,Games,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Strength of Schedule,True Shooting Percentage,Effective Field Goal Percentage,3 Point Attempt Rate,Free Throw Attempt Rate,Offensive Win Shares,Defensive Win Shares,Win Shares
2.589473684,2009,Toney Douglas,29,23.25,2009,Guard,185,205,0.902439024,35,6.8,15.3,0.446,4.4,9,0.489,2.4,6.3,0.385,5.4,6.6,0.81,3.9,2.9,1.8,0.4,21.5,7.91,0.581,0.525,0.412,0.433,4.6,1.7,6.3
0,2009,Jermaine Taylor,32,22.5,2009,Guard,193,205,0.941463415,31,9.4,19.5,0.48,6.4,11.6,0.551,3,7.9,0.376,4.5,5.5,0.812,5.2,1.9,1.3,0.8,26.2,1.26,0.591,0.556,0.404,0.281,4.9,1.4,6.2
4.304072398,2009,Jodie Meeks,41,21.83333333,2009,Guard,196,208,0.942307692,36,7.3,15.8,0.463,4.1,7.8,0.521,3.3,8,0.406,5.9,6.5,0.902,3.4,1.8,1.3,0.1,23.7,4.82,0.629,0.566,0.507,0.412,6.3,1.1,7.4
5.305882353,2009,Patrick Beverley,42,20.91666667,2009,Guard,185,180,1.027777778,35,3.9,9.4,0.412,2,4.5,0.449,1.9,4.9,0.378,2.4,3.8,0.644,6.6,2.4,1.3,0.5,12.1,6.73,0.537,0.511,0.521,0.4,1.5,2.1,3.6
3.784615385,2009,Marcus Thornton,43,22,2009,Guard,193,205,0.941463415,35,7.3,15.5,0.472,5.1,9.7,0.522,2.2,5.7,0.388,4.3,5.7,0.745,5.5,2.1,1.6,0.4,21.1,3.27,0.58,0.544,0.371,0.369,4.2,2.4,6.6
1.652713178,2009,Nick Calathes,45,20.33333333,2009,Guard,198,194,1.020618557,36,5.7,11.8,0.482,3.7,6.6,0.555,2,5.2,0.39,3.8,5.3,0.707,5.3,6.4,1.9,0.2,17.2,3.88,0.599,0.568,0.44,0.449,4,2.4,6.4
1.737748344,2009,A.J. Price,52,22.66666667,2009,Guard,188,181,1.038674033,35,4.9,11.9,0.408,2.5,6.1,0.413,2.3,5.8,0.402,2.7,3.7,0.721,3.5,4.7,0.7,0,14.7,8.57,0.538,0.506,0.489,0.309,2.1,1.9,4
3.668421053,2009,Patrick Mills,55,20.83333333,2009,Guard,183,180,1.016666667,26,6.3,15.6,0.402,3.7,8,0.464,2.6,7.6,0.338,3.3,3.8,0.859,2.4,3.9,2.2,0.2,18.4,1.49,0.529,0.485,0.489,0.244,1.8,1.9,3.6
0,2009,Lester Hudson,58,24.83333333,2009,Guard,190,190,1,32,9.8,21.8,0.449,6.5,12.4,0.52,3.3,9.3,0.355,4.6,5.3,0.881,7.9,4.2,2.3,0.6,27.5,-4.9,0.566,0.525,0.429,0.241,4.3,3.3,7.6
7.814529915,2010,John Wall,1,19.75,2010,Guard,193,195,0.98974359,37,5.5,11.8,0.461,4.5,8.8,0.509,1,3.1,0.325,4.7,6.3,0.754,4.3,6.5,1.8,0.5,16.6,6.82,0.562,0.503,0.26,0.53,3.7,2.6,6.3
2.008163265,2010,Evan Turner,2,21.66666667,2010,Guard,201,210,0.957142857,31,7.6,14.7,0.519,7,13,0.54,0.6,1.8,0.364,4.5,5.9,0.754,9.2,6,1.7,0.9,20.4,7.37,0.581,0.54,0.12,0.4,4,2.8,6.8
0,2010,Xavier Henry,12,19.25,2010,Guard,198,220,0.9,36,4.5,9.8,0.458,2.6,5.3,0.492,1.9,4.6,0.418,2.5,3.2,0.783,4.4,1.5,1.5,0.5,13.4,8.25,0.591,0.555,0.466,0.325,2.8,2.1,4.9
7.19483871,2010,Eric Bledsoe,18,20.5,2010,Guard,185,190,0.973684211,37,3.9,8.4,0.462,2.6,5,0.516,1.3,3.5,0.383,2.2,3.3,0.667,3.1,2.9,1.4,0.3,11.3,6.82,0.566,0.54,0.41,0.394,1.5,2.1,3.5
4.1,2010,Avery Bradley,19,19.58333333,2010,Guard,188,180,1.044444444,34,4.7,10.8,0.432,3.4,7.5,0.457,1.2,3.3,0.375,1.1,1.9,0.545,2.9,2.1,1.3,0.5,11.6,7.38,0.496,0.489,0.304,0.179,1.6,1.6,3.2
1.001526718,2010,James Anderson,20,21.25,2010,Guard,198,210,0.942857143,33,6.8,15,0.457,4.6,8.4,0.549,2.2,6.6,0.341,6.3,7.8,0.81,5.8,2.4,1.4,0.6,22.3,6.97,0.596,0.532,0.439,0.522,5.2,1.7,6.9
0.385882353,2010,Elliot Williams,22,21,2010,Guard,193,180,1.072222222,34,5.2,11.4,0.459,3.5,6.6,0.527,1.8,4.8,0.366,5.7,7.5,0.758,4,3.8,1.3,0.1,17.9,3.65,0.599,0.536,0.423,0.66,4.1,1.5,5.6
0,2010,Dominique Jones,25,21.66666667,2010,Guard,193,205,0.941463415,33,6.7,14.9,0.45,5.2,9.9,0.521,1.6,5.1,0.311,6.3,8.5,0.741,6.1,3.6,1.7,0.6,21.4,7.21,0.562,0.503,0.339,0.572,4.3,1.9,6.2
2.552317881,2010,Jordan Crawford,27,21.66666667,2010,Guard,193,195,0.98974359,35,7.4,16.1,0.462,5.2,10.3,0.501,2.3,5.8,0.391,3.4,4.4,0.773,4.7,2.9,1.3,0.2,20.5,5.94,0.564,0.532,0.359,0.274,4.1,1.8,5.9
2.528971963,2010,Greivis Vasquez,28,23.41666667,2010,Guard,198,200,0.99,33,6.7,15.5,0.429,4.6,9.7,0.47,2.1,5.8,0.359,4.2,4.9,0.857,4.6,6.3,1.7,0.4,19.6,7.95,0.549,0.496,0.374,0.314,4,1.9,5.8
0,2010,Armon Johnson,34,21.33333333,2010,Guard,190,195,0.974358974,34,6.4,13,0.495,5.9,10.9,0.544,0.5,2.1,0.239,2.4,3.5,0.678,3.4,5.6,0.8,0.4,15.7,2.56,0.537,0.515,0.161,0.267,2.5,0.5,3
0,2010,Andy Rautins,38,23.58333333,2010,Guard,196,195,1.005128205,35,3.7,8.5,0.438,0.9,1.6,0.571,2.8,6.9,0.407,1.9,2.3,0.815,3.4,4.9,2,0.2,12.1,7.21,0.632,0.603,0.811,0.273,2.9,2.1,4.9
1.379439252,2010,Landry Fields,39,22,2010,Guard,201,215,0.934883721,32,7.8,15.8,0.49,6.8,13.1,0.521,0.9,2.7,0.337,5.6,8,0.696,8.8,2.8,1.6,0.8,22,6.5,0.56,0.519,0.17,0.508,4.2,1.8,6
0,2010,Willie Warren,54,20.66666667,2010,Guard,193,199,0.969849246,21,5,11.5,0.438,3.6,6.9,0.524,1.4,4.6,0.309,4.8,6,0.795,3.3,4.1,1,0,16.3,7.79,0.567,0.5,0.401,0.525,1.4,0.2,1.7
