Peak WSPG,Draft Year,Name,Pick,Draft Age,Year,Position,Height (cm),Weight (lbs),Height/Weight Ratio,Games,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Strength of Schedule,True Shooting Percentage,Effective Field Goal Percentage,3 Point Attempt Rate,Free Throw Attempt Rate,Offensive Win Shares,Defensive Win Shares,Win Shares
5.594392523,2009,Danny Green,46,22,2009,Forward,196,210,0.933333333,38,4.8,10.3,0.471,2.8,5.4,0.517,2,4.8,0.418,1.4,1.6,0.852,4.7,2.7,1.8,1.3,13.1,8.35,0.592,0.569,0.471,0.156,2.7,3.6,6.3
0,2009,Taylor Griffin,48,23.16666667,2009,Forward,201,238,0.844537815,36,3.5,6.5,0.536,3.3,6.1,0.548,0.1,0.4,0,2.5,3.6,0.7,5.8,1.3,1.3,1,9.6,6.88,0.587,0.547,0.06,0.558,2,2.3,4.3
7.722751323,2010,Derrick Favors,3,18.91666667,2010,Forward,208,246,0.845528455,36,5,8.1,0.611,5,8.1,0.613,0,0,0,2.5,4,0.629,8.4,1,0.9,2.1,12.4,9.02,0.621,0.611,0.003,0.488,2.3,2.5,4.8
1.056701031,2010,Wesley Johnson,4,22.91666667,2010,Forward,201,205,0.980487805,35,5.9,11.8,0.502,4.5,8.3,0.54,1.5,3.5,0.415,3.2,4.1,0.772,8.5,2.2,1.7,1.8,16.5,7.21,0.6,0.564,0.299,0.352,3.7,2.9,6.6
8.074489796,2010,DeMarcus Cousins,5,19.83333333,2010,Forward,211,270,0.781481481,38,5.4,9.7,0.558,5.4,9.6,0.565,0,0.2,0,4.3,7.1,0.604,9.8,1,1,1.8,15.1,6.82,0.579,0.56,0.016,0.726,3.8,2.7,6.5
3.476497696,2010,Al-Farouq Aminu,8,19.75,2010,Forward,206,215,0.958139535,31,5.4,12.1,0.447,4.8,9.9,0.484,0.6,2.1,0.273,4.5,6.4,0.698,10.7,1.3,1.4,1.4,15.8,8.85,0.524,0.471,0.176,0.532,2,2.2,4.3
10.02620087,2010,Gordon Hayward,9,20.25,2010,Forward,203,207,0.980676329,37,4.7,10.1,0.464,3.4,5.8,0.592,1.3,4.3,0.294,4.8,5.8,0.829,8.2,1.7,1.1,0.8,15.5,5.08,0.601,0.527,0.429,0.579,4,3,6.9
8.250617284,2010,Paul George,10,20.08333333,2010,Forward,201,210,0.957142857,29,5.3,12.5,0.424,3.3,6.8,0.485,2,5.8,0.353,4.1,4.6,0.909,7.2,3,2.2,0.8,16.8,1.31,0.572,0.506,0.46,0.364,2.3,1.8,4.2
5.73632287,2010,Ed Davis,13,21,2010,Forward,208,225,0.924444444,23,4.8,8.3,0.578,4.8,8.3,0.578,0,0,0,3.8,5.7,0.659,9.6,1,0.4,2.8,13.4,9.83,0.607,0.578,0,0.688,1.8,1.3,3.1
4.92,2010,Patrick Patterson,14,21.25,2010,Forward,206,235,0.876595745,38,5.7,9.8,0.575,5,8,0.626,0.6,1.8,0.348,2.4,3.4,0.692,7.4,0.9,0.7,1.3,14.3,6.82,0.624,0.607,0.184,0.348,4.6,2.4,7
