,avg_improvement,pct_improvement
0,0.4188461302483331,0.23416666666666663
1,1.524155425255,0.4675
2,-2.0490660122341673,0.19083333333333333
3,-1.8687223863608333,0.25499999999999995
4,-2.313354976885,0.25
5,-0.16353035334833332,0.48583333333333334
6,-0.37118532056083325,0.41416666666666674
7,0.5405349583191668,0.5783333333333334
8,0.4761709863108332,0.5216666666666666
9,1.0073551659391666,0.5858333333333333
10,1.0417956310275,0.5416666666666667
11,0.8686734027566666,0.56
12,0.4106607385066667,0.5049999999999999
13,-1.205274322265,0.3275
14,0.9065086033158335,0.5316666666666666
15,-0.34619325057000006,0.44166666666666665
16,-1.6566385692791663,0.31750000000000006
17,0.035842997096666725,0.4266666666666667
18,0.3437475148933333,0.4558333333333333
19,-1.0098449602666668,0.37
20,0.24437528946666667,0.4491666666666667
21,0.5800360977324999,0.515
22,-0.054207893099999974,0.4083333333333334
23,0.18755861704250004,0.455
24,0.6835956027741666,0.4641666666666666
25,-0.4218541182266668,0.3791666666666667
26,0.23663907769416667,0.5158333333333334
