Ln Peak WS,Name,Draft Year,Pick,Draft Age,Position,Height (cm),Weight (lbs),Games,Games Started Percentage,Minutes Played,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Offensive Rebounds Per Game,Defensive Rebounds Per Game,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Personal Fouls Per Game,Points Per Game,Strength of Schedule,True Shooting Percentage,Effective Field Goal Percentage,3 Point Attempt Rate,Free Throw Attempt Rate,Total Rebound Percentage,Assist Percentage,Block Percentage,Turnover Percentage,Usage Rate,Offensive Win Shares,Defensive Win Shares,Win Shares,Win Shares Per 40 Minutes,MM Games Played,MM Final Four,MM Champ,MM Games Started Percentage,MM Minutes Played,MM Field Goals Per Game,MM Field Goal Attempts Per Game,MM Field Goal Percentage,MM 2-Point Field Goals Per Game,MM 2-Point Field Goal Attempts Per Game,MM 2-Point Field Goal Percentage,MM 3-Point Field Goals Per Game,MM 3-Point Field Goal Attempts Per Game,MM 3-Point Field Goal Percentage,MM Free Throws Per Game,MM Free Throw Attempts Per Game,MM Free Throw Percentage,MM Offensive Rebounds Per Game,MM Defensive Rebounds Per Game,MM Total Rebounds Per Game,MM Assists Per Game,MM Steals Per Game,MM Blocks Per Game,MM Turnovers Per Game,MM Personal Fouls Per Game,MM Points Per Game,MM Points Delta,MM Rebounds Delta,MM Assists Delta,MM Steals Delta,MM Blocks Delta,MM Points Delta Squared,MM Rebounds Delta Squared,MM Assists Delta Squared,MM Steals Delta Squared,MM Blocks Delta Squared
-0.105360516,DeAndre Bembry,2016,21,21.91666667,Forward,198,210,36,0.972222222,37.3,6.6,13.8,0.479,5.7,10.3,0.553,0.9,3.6,0.266,3.3,4.9,0.657,1.4,6.3,7.8,4.5,1.4,0.8,2,2.4,17.4,4.93,0.539,0.513,0.258,0.358,11.3,24.1,2.5,11.2,24.4,3.4,2.5,5.8,0.174,2,0,0,0.5,40,6.5,14.5,0.448276,5,10.5,0.47619,1.5,4,0.375,5,5.5,0.909091,2,7,9,4,2.5,1,2,3,19.5,2.1,1.2,-0.5,1.1,0.2,4.41,1.44,0.25,1.21,0.04
2.254707013,Pascal Siakam,2016,27,22.16666667,Forward,206,230,34,1,34.6,8.1,15,0.539,8,14.6,0.549,0.1,0.4,0,4,5.9,0.678,3.9,7.7,11.6,1.7,1,2.2,2,2.7,20.3,-3.54,0.569,0.542,0.029,0.396,18.8,12,6.5,10,29.1,4.4,3.4,7.8,0.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.763374666,Malcolm Brogdon,2016,36,23.5,Guard,196,217,37,1,34.1,6.2,13.6,0.457,4.2,8.4,0.498,2,5.2,0.391,3.8,4.2,0.897,0.5,3.5,4.1,3.1,0.9,0.2,1.4,2.1,18.2,11.12,0.585,0.532,0.382,0.31,7.9,19.5,0.9,8.3,28.4,4.9,2.1,7,0.222,4,0,0,0.25,35.25,4.5,12.5,0.36,3.75,8.5,0.441176,0.75,4,0.1875,4.5,4.5,1,0.75,3.25,4,5.25,1.5,0.75,1,2,14.25,-3.95,-0.1,2.15,0.6,0.55,15.6025,0.01,4.6225,0.36,0.3025
1.275441482,Jake Layman,2016,47,22.25,Forward,206,205,36,1,30.9,3.9,7.8,0.5,2.3,3.8,0.61,1.6,4,0.396,2.2,2.6,0.832,1.1,4.2,5.3,1.1,1.1,1,1.7,1.9,11.6,8.31,0.64,0.602,0.514,0.339,9.9,7,3.4,15.8,18.2,2.4,2,4.4,0.159,3,0,0,0.333333333,35.666667,4.666667,9,0.518519,3,3.666667,0.818182,1.666667,5.333333,0.3125,4,4,1,0.333333,4.333333,4.666667,1,1,1.666667,0.333333,0.333333,15,3.4,-0.633333,-0.1,-0.1,0.666667,11.56,0.401110689,0.01,0.01,0.444444889
0.449575807,Georges Niang,2016,50,23,Forward,203,230,35,1,33.2,8.1,14.8,0.546,6.5,10.7,0.605,1.6,4.1,0.392,2.7,3.4,0.807,1.3,4.9,6.2,3.3,0.9,0.6,2.6,3.2,20.5,10.16,0.625,0.6,0.276,0.23,10.6,19.2,1.8,13.8,28.7,4.2,1.4,5.6,0.192,3,0,0,0.333333333,36.333333,11,20.333333,0.540984,8.333333,14.666667,0.568182,2.666667,5.666667,0.470588,4,4.666667,0.857143,0.333333,6.333333,6.666667,3.333333,1,0.333333,3,2.666667,28.666667,8.166667,0.466667,0.033333,0.1,-0.266667,66.69444989,0.217778089,0.001111089,0.01,0.071111289
-0.507772186,Abdel Nader,2016,58,22.75,Forward,198,230,35,1,31.1,4.6,9.6,0.478,3.1,5.6,0.553,1.5,4,0.371,2.2,3,0.736,0.7,4.2,5,1.5,1.1,0.7,2.3,2.8,12.9,10.16,0.583,0.555,0.415,0.315,9,8,2.1,16.9,21.5,1.5,1.4,2.8,0.104,3,0,0,0.333333333,29.333333,3.666667,7,0.52381,2,4,0.5,1.666667,3,0.555556,1.666667,2.666667,0.625,0,3.666667,3.666667,1.333333,1.333333,0.333333,1,4,10.666667,-2.233333,-1.333333,-0.166667,0.233333,-0.366667,4.987776289,1.777776889,0.027777889,0.054444289,0.134444689
1.730620646,Willie Cauley-Stein,2015,6,21.83333333,Forward,213,240,39,0.974358974,25.9,3.5,6.1,0.572,3.5,6.1,0.572,0,0,0,2,3.3,0.617,2.3,4.2,6.4,1,1.2,1.7,1.2,2,8.9,8.67,0.588,0.572,0,0.542,14.5,7.4,7.1,13.9,17.8,2.6,3.4,6,0.239,5,1,0,0.2,28.8,2.2,5,0.44,2.2,5,0.44,0,0,0,2,3,0.666667,2.4,4,6.4,1.2,0.6,2.2,0.8,2.2,6.4,-2.5,0,0.2,-0.6,0.5,6.25,0,0.04,0.36,0.25
1.256836294,Frank Kaminsky,2015,9,22.16666667,Center,213,242,39,1,33.6,6.8,12.5,0.547,5.8,9.9,0.581,1.1,2.6,0.416,4,5.1,0.78,1.5,6.7,8.2,2.6,0.8,1.5,1.6,1.7,18.8,10.29,0.628,0.59,0.207,0.41,16.1,18.4,4.5,9.8,28.6,6.9,2.9,9.8,0.299,6,1,0,0.166666667,37.666667,7.333333,14.166667,0.517647,6,11.666667,0.514286,1.333333,2.5,0.533333,6,7,0.857143,1.666667,7.666667,9.333333,2.166667,0.5,0.833333,2.166667,2,22,3.2,1.133333,-0.433333,-0.3,-0.666667,10.24,1.284443689,0.187777489,0.09,0.444444889
0.024692613,Cameron Payne,2015,14,20.83333333,Guard,188,180,35,1,32.2,7,15.3,0.456,4.6,9,0.513,2.4,6.4,0.377,3.8,4.8,0.787,0.6,3.1,3.7,6,1.9,0.5,2.5,2.1,20.2,-2.81,0.573,0.534,0.415,0.315,6.6,40,1.6,12.4,31.5,5.5,1.8,7.3,0.258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.200422205,Terry Rozier,2015,16,21.25,Guard,185,190,36,0.972222222,35,5.9,14.5,0.411,4.6,10.1,0.456,1.3,4.4,0.306,3.9,4.9,0.79,1.2,4.4,5.6,3,2,0.2,2.2,1.7,17.1,8.98,0.509,0.457,0.301,0.338,8.8,19.7,0.5,11.6,27.8,3,3,6,0.191,4,0,0,0.25,40.75,6.25,15.25,0.409836,5.5,12.25,0.44898,0.75,3,0.25,3.5,3.75,0.933333,1,6.5,7.5,4.75,1.75,0.25,2.5,1.75,16.75,-0.35,1.9,1.75,-0.25,0.05,0.1225,3.61,3.0625,0.0625,0.0025
