,avg_improvement,pct_improvement
0,1.4409365845091668,0.3350000000000001
1,0.6367308754791667,0.4275
2,-1.589184768756666,0.33083333333333337
3,-1.5198808175724998,0.3183333333333333
4,-2.274694804441667,0.21499999999999997
5,0.20605514676500017,0.5416666666666666
6,-0.06438378365833337,0.4641666666666667
7,0.045158343866666666,0.48083333333333333
8,-0.5727069562783335,0.43750000000000006
9,0.7142651977741667,0.4925
10,0.6456788580225,0.465
11,0.4238203048233333,0.4925
12,0.6789508006624999,0.5958333333333333
13,-0.7451189538424998,0.3533333333333333
14,0.9503992078166665,0.6
15,-0.4405079752491667,0.395
16,-1.709421017944167,0.27416666666666667
17,0.08485598198583343,0.45416666666666655
18,0.07132492914166656,0.465
19,-0.7809792146575001,0.3825
20,0.9348163458291668,0.48750000000000004
21,0.5748854546449998,0.47416666666666674
22,0.27896580536999993,0.45083333333333336
23,-0.17501654367833339,0.4724999999999999
24,0.5380646327733334,0.385
25,-0.49356325003000007,0.34083333333333343
26,0.037343254356666675,0.385
