,avg_improvement,pct_improvement,pct_worse
0,0.2016666666666667,0.2358333333333333,0.034166666666666665
1,-0.105,0.11499999999999998,0.21999999999999997
2,-0.06583333333333334,0.1325,0.19833333333333333
3,0.00666666666666667,0.14916666666666667,0.1425
4,-0.2375,0.06833333333333332,0.3058333333333333
5,-0.15416666666666667,0.10499999999999998,0.2591666666666667
6,-0.12583333333333335,0.12166666666666666,0.2475
7,0.060833333333333336,0.22666666666666668,0.16583333333333333
8,-0.02166666666666667,0.14083333333333334,0.1625
9,0.19083333333333333,0.31416666666666665,0.12333333333333334
10,-0.04999999999999999,0.18166666666666664,0.23166666666666663
11,0.017500000000000005,0.2675,0.25
12,0.09916666666666667,0.3475000000000001,0.24833333333333332
13,-0.19166666666666665,0.1425,0.33416666666666667
14,0.12916666666666665,0.2975,0.16833333333333333
15,-0.1075,0.1708333333333333,0.27833333333333327
16,-0.17666666666666667,0.14833333333333332,0.325
17,-0.12416666666666665,0.1716666666666667,0.29583333333333334
18,-0.10333333333333333,0.17666666666666664,0.28
19,0.01416666666666667,0.235,0.2208333333333333
20,0.01666666666666666,0.24083333333333332,0.22416666666666665
21,0.04500000000000001,0.23,0.18499999999999997
22,0.02916666666666666,0.21916666666666665,0.18999999999999997
23,0.12666666666666665,0.295,0.16833333333333333
24,0.014999999999999998,0.2316666666666667,0.21666666666666667
25,-0.05333333333333333,0.18,0.23333333333333328
26,0.0033333333333333344,0.1775,0.17416666666666664
