,avg_improvement,pct_improvement,pct_worse
0,1.4455568141775001,0.23416666666666663,0.29166666666666663
1,0.7778375508941667,0.49,0.4408333333333334
2,-1.7163777032841665,0.2375,0.6008333333333333
3,-1.1565205285833333,0.32166666666666666,0.5966666666666666
4,-2.5869435161116665,0.32166666666666666,0.6516666666666667
5,0.2548926173641666,0.5691666666666667,0.4108333333333333
6,0.3072749281133333,0.4558333333333333,0.4624999999999999
7,0.8183859717683333,0.64,0.27999999999999997
8,0.07092968743916656,0.4875,0.41416666666666674
9,0.9028131841025001,0.5358333333333333,0.36083333333333334
10,0.6266768744250001,0.5891666666666667,0.345
11,0.8443479809591666,0.55,0.38833333333333336
12,0.3661231807833334,0.4649999999999999,0.4725
13,-0.6681204997825,0.345,0.5808333333333333
14,1.0037550414091667,0.5016666666666666,0.4025
15,-0.2451421478975,0.445,0.4991666666666666
16,-1.462600388304167,0.3641666666666667,0.5791666666666666
17,-0.3269595929883332,0.39083333333333337,0.45666666666666667
18,-0.33553183435583334,0.37,0.5725
19,-0.7134841640316667,0.39666666666666667,0.48083333333333333
20,-0.07753976184583332,0.40083333333333326,0.48749999999999993
21,0.5571721282575,0.4975,0.35083333333333333
22,-0.05407058245249994,0.5175,0.36333333333333334
23,0.4662620374258333,0.5083333333333333,0.4225
24,0.8596378002574998,0.4891666666666666,0.3183333333333333
25,-0.33502627299916665,0.35333333333333333,0.455
26,-0.10532936775499997,0.37916666666666665,0.4616666666666667
