Peak WSPG,Draft Year,Name,Pick,Draft Age,Year,Position,Height (cm),Weight (lbs),Height/Weight Ratio,Games,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Strength of Schedule,True Shooting Percentage,Effective Field Goal Percentage,3 Point Attempt Rate,Free Throw Attempt Rate,Offensive Win Shares,Defensive Win Shares,Win Shares
0,1996,Brian Evans,27,22.75,1996,Forward,203,220,0.922727273,31,6.8,15.3,0.447,4.8,10.2,0.475,2,5.1,0.392,5.5,6.5,0.847,7.1,4.1,1.4,0.6,21.2,10.87,0.577,0.513,0.333,0.428,3.7,1.8,5.5
0,1996,Travis Knight,29,21.75,1996,Center,213,235,0.906382979,34,3.7,7.1,0.521,3.7,7.1,0.521,0,0,0,1.7,2.5,0.694,9.3,2.1,0.7,2,9.1,8.19,0.551,0.521,0,0.351,1.4,4.4,5.8
3.125966851,1996,Othella Harrington,30,22.41666667,1996,Center,206,235,0.876595745,37,4.4,7.8,0.559,4.4,7.7,0.563,0,0.1,0,3.5,4.7,0.741,6.9,1.2,0.8,1.6,12.2,9.83,0.608,0.559,0.007,0.604,2.9,3.7,6.6
0,1996,Mark Hendrickson,31,22,1996,Forward,206,220,0.936363636,23,5.5,9.7,0.572,5.2,8.3,0.623,0.3,1.3,0.258,5.1,7.2,0.709,9.5,1.6,0.9,0.2,16.5,5.86,0.631,0.59,0.14,0.743,2.8,1,3.8
4.303546099,1996,Jeff McInnis,37,21.66666667,1996,Guard,193,190,1.015789474,31,5.7,13.2,0.435,3.6,7.7,0.466,2.2,5.5,0.392,2.8,3.5,0.8,2.6,5.5,1.2,0,16.5,11.42,0.554,0.517,0.418,0.269,2.4,0.9,3.3
0,1996,Steve Hamer,38,22.58333333,1996,Center,213,245,0.869387755,29,6.4,11.2,0.575,6.4,11.2,0.575,0,0,0,5.3,8.7,0.615,9.4,1,0.4,1.3,18.2,9.2,0.595,0.575,0,0.775,3.7,1.7,5.4
0,1996,Jason Sasser,41,22.41666667,1996,Forward,201,225,0.893333333,31,6.5,14.2,0.458,5.5,11,0.503,1,3.3,0.307,5.5,7.5,0.726,7.8,2.9,0.7,0.1,19.5,2.11,0.548,0.493,0.229,0.531,2.6,2,4.6
0,1996,Randy Livingston,42,21.16666667,1996,Guard,193,209,0.923444976,13,1.8,6.4,0.289,1.8,4.8,0.365,0.1,1.5,0.05,2.3,2.9,0.789,2.3,5.3,2.1,0.2,6.1,5.14,0.391,0.295,0.241,0.458,-0.3,0.5,0.2
0,1996,Ben Davis,43,23.5,1996,Forward,206,240,0.858333333,33,5.2,9.5,0.546,5.2,9.5,0.546,0,0,0,3.8,5.6,0.69,9.5,0.7,0.6,0.6,14.2,8.42,0.586,0.546,0,0.588,2.6,1.9,4.5
4.284269663,1996,Malik Rose,44,21.58333333,1996,Center,201,250,0.804,31,7.1,11.9,0.595,6.8,11.2,0.611,0.2,0.7,0,5.9,8.2,0.714,13.2,1.7,1.1,1,20.2,-5.06,0.641,0.605,0.057,0.693,4.7,4.4,9.1
0,1996,Marcus Brown,46,22.16666667,1996,Guard,190,185,1.027027027,29,8.8,18.5,0.474,6.2,12.4,0.499,2.6,6,0.423,6.4,7.6,0.841,4.8,4.1,2.2,0.3,26.4,-3.01,0.599,0.543,0.326,0.41,4.7,1.8,6.5
5.133913043,1996,Jamie Feick,48,21.91666667,1996,Center,206,255,0.807843137,32,3.6,8.4,0.433,3,6.3,0.473,0.6,2,0.308,2.2,3.6,0.617,9.5,2.3,0.8,0.4,10.1,9.04,0.501,0.47,0.243,0.429,0.9,2.1,2.9
0,1996,Amal McCaskill,49,22.66666667,1996,Center,211,235,0.89787234,30,4.1,7.5,0.549,4.1,7.4,0.55,0,0.1,0,2.1,3.2,0.649,8.9,1.3,0.6,1.8,10.3,4.93,0.574,0.551,0.009,0.433,1.8,3.4,5.2
0,1996,Chris Robinson,51,22.16666667,1996,Forward,196,200,0.98,26,6.3,13.8,0.455,5.1,9.9,0.518,1.2,3.9,0.297,3.1,4.6,0.675,6.2,2.3,2.6,0.7,16.8,0.85,0.527,0.497,0.282,0.335,1.5,1.4,2.9
0,1996,Mark Pope,52,23.75,1996,Center,208,235,0.885106383,36,2.6,5.4,0.482,2.2,4.2,0.52,0.4,1.3,0.356,2,2.9,0.683,5.2,1,1,1.2,7.6,10.06,0.563,0.523,0.231,0.533,1.2,3.2,4.4
0,1996,Jeff Nordgaard,53,23.33333333,1996,Forward,201,225,0.893333333,29,9.6,17.2,0.554,9.3,16.4,0.566,0.3,0.9,0,3.2,4.5,0.71,6.3,2.3,1,0.3,22.6,-0.88,0.583,0.562,0.05,0.262,4.4,2.4,6.8
4.253271028,1996,Shandon Anderson,54,22.5,1996,Forward,198,208,0.951923077,31,5.7,10.5,0.538,5.2,8.9,0.582,0.5,1.7,0.308,3,4.6,0.657,5.5,2.7,1.8,0.5,14.9,8.13,0.585,0.563,0.159,0.437,2.7,2.3,5
0,1996,Reggie Geary,56,22.83333333,1996,Guard,188,187,1.005347594,33,3.3,7.6,0.432,1.9,4,0.474,1.4,3.5,0.385,1.9,2.6,0.733,3.6,7,2,0.7,9.8,8.42,0.557,0.522,0.468,0.344,1.7,2.2,3.8
0,1996,Drew Barry,57,23.33333333,1996,Guard,196,191,1.02617801,36,4.1,10.2,0.406,2,4.4,0.456,2.1,5.8,0.368,2.9,3.7,0.789,4.6,6.6,1.8,0.4,13.3,12.71,0.558,0.511,0.569,0.362,2.3,1.1,3.4
15.89795918,1997,Tim Duncan,1,21.16666667,1997,Center,211,248,0.850806452,31,7.5,12.4,0.608,7.4,11.7,0.628,0.2,0.7,0,5.5,8.7,0.636,14.7,3.2,0.7,3.3,20.8,10.53,0.629,0.616,0.057,0.699,5.5,4.9,10.4
5.700952381,1997,Keith Van Horn,2,21.66666667,1997,Forward,208,220,0.945454545,32,7.8,15.8,0.492,5.9,11.1,0.537,1.8,4.7,0.387,4.7,5.2,0.904,9.5,1.4,0.7,1.2,22,5.44,0.604,0.55,0.298,0.331,4.9,3,8
7.460944206,1997,Chauncey Billups,3,20.75,1997,Guard,190,202,0.940594059,29,5.2,12.7,0.413,2.7,6.2,0.425,2.6,6.4,0.401,6.1,7.1,0.854,4.9,4.8,2.1,0.1,19.1,6.24,0.596,0.515,0.508,0.56,3.7,2.1,5.8
5.765065502,1997,Antonio Daniels,4,22.25,1997,Guard,193,195,0.98974359,32,8.7,15.9,0.547,7.3,12.7,0.576,1.4,3.3,0.433,5.1,6.6,0.777,2.8,6.8,2.3,0.3,24,1.56,0.628,0.591,0.204,0.414,5.4,1.5,6.9
6.478453039,1997,Tony Battie,5,21.33333333,1997,Center,211,230,0.917391304,28,7.4,12.7,0.579,7.1,12.1,0.588,0.2,0.6,0,3.8,5.8,0.656,11.8,0.8,0.9,2.5,18.8,6.72,0.606,0.587,0.045,0.458,3.2,2.1,5.4
0,1997,Ron Mercer,6,21.08333333,1997,Forward,201,210,0.957142857,40,7.4,15.1,0.493,6.2,11.6,0.537,1.2,3.5,0.348,2.1,2.6,0.781,5.3,2.4,1.7,0.3,18.1,9.2,0.555,0.533,0.234,0.174,3.4,3.2,6.6
3.429090909,1997,Tim Thomas,7,20.33333333,1997,Forward,208,230,0.904347826,32,5.8,13,0.45,4.4,8.6,0.507,1.5,4.4,0.336,3.8,4.8,0.796,6,2.1,1.8,1,16.9,9.45,0.555,0.506,0.337,0.365,2.6,2,4.6
0,1997,Adonal Foyle,8,22.25,1997,Center,208,250,0.832,28,9.9,17.5,0.565,9.9,17.3,0.571,0,0.3,0,4.5,9.3,0.487,13.1,1.9,0.7,6.4,24.4,-6.42,0.555,0.566,0.014,0.533,3.3,2.7,6
4.756,1997,Danny Fortson,10,21.25,1997,Forward,201,260,0.773076923,33,7.4,11.9,0.62,7.4,11.8,0.621,0,0,0,6.6,8.5,0.772,9.1,1.1,0.6,0.5,21.3,5.44,0.669,0.62,0.003,0.717,6,2.5,8.5
0,1997,Tariq Abdul-Wahad,11,22.58333333,1997,Forward,198,223,0.887892377,26,8.7,17.6,0.492,7.7,14.8,0.516,1,2.7,0.366,5.5,7.5,0.73,8.8,1.1,1.5,0.7,23.8,4.15,0.563,0.521,0.155,0.429,3.2,1.6,4.9
3.858823529,1997,Austin Croshere,12,22.08333333,1997,Center,206,235,0.876595745,36,5.6,12.2,0.455,3.9,7.4,0.525,1.7,4.9,0.349,5.1,5.7,0.888,7.5,1.5,1.1,0.7,17.9,8.32,0.598,0.524,0.398,0.466,4.4,2.4,6.8
